id_educador,id_hospital,distancia_m,tiempo_seg
1,31,298430.4075153972,17905.824450923832
1,23,269783.2597658271,16186.995585949626
1,44,264150.3083479562,15849.018500877375
1,15,4530.434763757873,271.82608582547243
1,39,640509.3445042555,38430.56067025533
2,41,541376.4368120076,32482.586208720455
2,51,1354781.862595391,81286.91175572346
2,11,1651985.1466777797,99119.10880066679
2,46,942774.3241653142,56566.45944991885
2,13,1811724.622373524,108703.47734241144
2,32,999745.6996240584,59984.74197744351
3,72,816414.4769673988,48984.868618043925
3,20,1422245.286822555,85334.71720935329
3,37,1671925.3751383116,100315.5225082987
3,71,702200.2090006571,42132.012540039424
3,22,880072.3086528922,52804.338519173536
4,6,208354.10635514397,12501.24638130864
4,47,2123.9643830366044,127.43786298219628
4,58,277269.8928646089,16636.193571876534
4,64,272946.2498515443,16376.774991092658
4,70,700817.8676877362,42049.072061264174
5,1,269360.4120055957,16161.62472033574
5,59,1280053.8296154009,76803.22977692405
5,40,552095.3250503625,33125.71950302175
5,14,1447437.7274615786,86846.26364769471
5,67,175783.78913534278,10547.027348120566
6,16,1037955.6557252706,62277.339343516236
6,9,1484672.6157905287,89080.35694743172
6,33,471054.30183219723,28263.258109931834
7,50,683208.1885370123,40992.49131222074
7,75,1171237.2978103836,70274.23786862301
7,52,1578576.1566129252,94714.5693967755
8,74,1414218.813999092,84853.12883994552
8,8,1492228.0133305101,89533.6807998306
8,65,1926009.1836565596,115560.55101939358
8,35,1238948.4275940873,74336.90565564523
8,78,643434.9774468334,38606.09864681
9,12,1099089.2940286836,65945.35764172101
9,55,958978.2685204761,57538.696111228564
9,80,474380.9317982485,28462.855907894907
9,63,1079123.8250876805,64747.42950526082
9,4,1144430.217089102,68665.81302534611
10,26,1498156.6840149262,89889.40104089558
10,10,1427598.0637367808,85655.88382420686
10,36,429977.475607743,25798.64853646458
10,5,1150699.865788453,69041.99194730718
11,7,223604.0428071676,13416.242568430056
11,69,457573.4299413429,27454.405796480576
11,79,1116033.5220196065,66962.0113211764
11,53,1132654.7742016006,67959.28645209603
11,2,700834.7152039993,42050.08291223996
11,28,1134335.977148831,68060.15862892984
12,62,2246980.3505619694,134818.82103371815
12,73,6104.15313671428,366.2491882028568
12,21,280164.7674787232,16809.88604872339
12,66,1238347.7318324035,74300.86390994421
12,19,2482014.830810873,148920.88984865235
12,77,1987520.0770796533,119251.20462477919
12,24,3866.6696774176285,232.00018064505772
13,29,634161.9308146056,38049.71584887633
13,34,696224.9943651145,41773.49966190687
13,38,2483351.366586437,149001.08199518622
13,18,1229311.8293043938,73758.70975826362
13,43,338420.63978907646,20305.238387344587
13,54,442948.807384752,26576.92844308512
14,25,1240779.6820319248,74446.7809219155
14,56,1164183.2349314548,69850.99409588729
14,42,650581.9774851582,39034.918649109495
14,30,1134429.8352688458,68065.79011613075
14,60,1004380.6863606089,60262.84118163653
14,49,1163312.5237526007,69798.75142515604
15,48,983430.4985174331,59005.829911045985
15,57,716053.7148553679,42963.222891322075
16,27,383083.3629827333,22985.001778963997
16,3,318740.5432900623,19124.43259740374
16,76,1306405.036769683,78384.30220618098
16,68,2037313.5992876624,122238.81595725974
16,61,1437742.3234731255,86264.53940838753
16,45,179326.54939942673,10759.592963965604
16,17,504724.2086602253,30283.45251961352
