id_hospital,nombre,estado,ciudad,lat,lon,prioridad,pacientes_2025,dificultad_zona,id_educador
31,Hospital_31,Hidalgo,Veracruz,19.194023735501897,-96.15844754324017,GROW,16,Baja,1
23,Hospital_23,México,Acapulco,16.833990821683905,-99.8581352132149,GROW,18,Media,1
44,Hospital_44,Aguascalientes,Acapulco,16.89518566942491,-99.86741185976817,PROTECT,16,Media,1
15,Hospital_15,Aguascalientes,Ciudad de México,19.40171407588264,-99.10005571533004,GROW,19,Media,1
39,Hospital_39,Jalisco,Monterrey,25.72888030239466,-100.30881745198175,PROTECT,18,Baja,1
41,Hospital_41,Oaxaca,Puebla,19.069940319109097,-98.17451461031413,SELECT,22,Media,2
51,Hospital_51,Sonora,Hospital_51,28.231080996816132,-114.58425973328943,GROW,14,Media,2
11,Hospital_11,Sinaloa,Cancún,21.131351581347644,-86.8364828723886,SELECT,22,Baja,2
46,Hospital_46,Baja California,Hospital_46,22.964202677998173,-94.20784907155988,GROW,13,Alta,2
13,Hospital_13,Veracruz,Tijuana,32.54622523366189,-117.02238788692955,PROTECT,16,Media,2
32,Hospital_32,Guanajuato,Hospital_32,23.040896160986428,-113.05934001889767,PROTECT,16,Media,2
72,Hospital_72,Baja California,Hospital_72,17.612257208642486,-101.52367952444057,PROTECT,12,Baja,3
20,Hospital_20,Tlaxcala,Hospital_20,19.750436370684724,-113.24050044856595,SELECT,12,Media,3
37,Hospital_37,Durango,Hospital_37,18.878002582174354,-115.58621614903818,SELECT,16,Alta,3
71,Hospital_71,México,Puebla,18.994979986275638,-98.18754768822087,PROTECT,11,Media,3
22,Hospital_22,Sonora,Acapulco,16.901724830260214,-99.78818419435241,SELECT,10,Media,3
6,Hospital_6,Tamaulipas,Veracruz,19.14656498050803,-96.12541468591377,GROW,8,Alta,4
47,Hospital_47,Morelos,Puebla,19.03092376281233,-98.18782377407508,SELECT,21,Media,4
58,Hospital_58,San Luis Potosí,Acapulco,16.80529562014551,-99.84571957756724,GROW,15,Media,4
64,Hospital_64,Aguascalientes,Acapulco,16.86598195814951,-99.85479078674815,SELECT,17,Media,4
70,Hospital_70,Jalisco,Monterrey,25.730937009956104,-100.29547757968682,SELECT,18,Media,4
1,Hospital_1,Chihuahua,Puebla,19.038047154729767,-98.18747661462001,GROW,14,Baja,5
59,Hospital_59,Tlaxcala,Hospital_59,31.40581278464278,-107.23431488282088,GROW,11,Alta,5
40,Hospital_40,Morelos,Hospital_40,23.30126322762423,-95.58121327356076,SELECT,17,Alta,5
14,Hospital_14,México,Hospital_14,19.337335333704335,-114.81007453697865,PROTECT,18,Media,5
67,Hospital_67,Aguascalientes,Ciudad de México,19.39682418143378,-99.0979295281117,SELECT,17,Baja,5
16,Hospital_16,Sonora,Hospital_16,19.603394569123175,-91.41287272914815,PROTECT,17,Alta,6
9,Hospital_9,Baja California Sur,Cancún,21.16689062170462,-86.83383695640998,SELECT,14,Alta,6
33,Hospital_33,Chihuahua,Monterrey,25.645729501031873,-100.36157608128481,PROTECT,25,Media,6
50,Hospital_50,Sinaloa,Hospital_50,19.20993046563536,-96.225949473922,PROTECT,14,Media,7
